Lat,Lon,Location,Count
41.4730948,-87.0611412,"Valparaiso, IN",1
42.331427,-83.0457538,"Detroit, MI",3
39.2806451,-80.34453409999999,"Clarksburg, WV",1
42.279286,-71.4161565,"Framingham, MA",1
33.4483771,-112.0740373,"Phoenix, AZ",22
42.0333607,-88.0834059,"Schaumburg, IL",1
42.3600825,-71.0588801,"Boston, MA",11
39.7294319,-104.8319195,"Aurora, CO",3
43.1435564,-93.3788108,"Clear Lake, IA",4
40.3432857,-111.7207608,"Lindon, UT",2
34.0522342,-118.2436849,"Los Angeles, CA",1
32.715738,-117.1610838,"San Diego, CA",6
39.10426349999999,-76.73423989999999,"Fort Meade, MD",4
40.6022939,-75.4714098,"Allentown, PA",1
41.0036719,-80.34700900000001,"New Castle, PA",2
40.0394982,-84.20327669999999,"Troy, OH",1
32.7766642,-96.79698789999999,"Dallas, TX",1
42.48059,-83.4754913,"Novi, MI",2
43.15657789999999,-77.6088465,"Rochester, NY",1
42.1662831,-87.9631308,"Buffalo Grove, IL",2
39.1202934,-76.77693239999999,"Annapolis Junction, MD",26
26.7153424,-80.0533746,"West Palm Beach, FL",1
39.4370508,-76.6196915,"Timonium, MD",2
30.3321838,-81.65565099999999,"Jacksonville, FL",5
30.267153,-97.7430608,"Austin, TX",4
40.2884395,-75.2090623,"Chalfont, PA",2
33.1983388,-96.6389342,"McKinney, TX",1
41.8781136,-87.6297982,"Chicago, IL",34
38.5229229,-77.2900787,"Quantico, VA",3
37.36883,-122.0363496,"Sunnyvale, CA",6
40.5649781,-111.8389726,"Sandy, UT",3
38.8338816,-104.8213634,"Colorado Springs, CO",5
33.4941704,-111.9260519,"Scottsdale, AZ",2
40.9256538,-73.1409429,"Stony Brook, NY",3
38.984652,-77.0947092,"Bethesda, MD",5
35.7795897,-78.6381787,"Raleigh, NC",1
40.3056601,-111.7495419,"Vineyard, UT",2
37.3860517,-122.0838511,"Mountain View, CA",1
33.0198431,-96.6988856,"Plano, TX",2
39.8137298,-84.05374479999999,"Wright Patterson AFB, OH",1
35.5859146,-80.8081413,"Mooresville, NC",1
40.3916172,-111.8507662,"Lehi, UT",2
41.2428563,-73.2006639,"Trumbull, CT",3
32.6130007,-83.624201,"Warner Robins, GA",2
43.7730448,-88.4470508,"Fond du Lac, WI",1
29.95106579999999,-90.0715323,"New Orleans, LA",3
40.4181235,-79.6255989,"Export, PA",1
42.3764852,-71.2356113,"Waltham, MA",24
34.4208305,-119.6981901,"Santa Barbara, CA",3
38.9071923,-77.0368707,"Washington, DC",23
37.48521520000001,-122.2363548,"Redwood City, CA",5
40.7127753,-74.0059728,"New York, NY",30
41.9270367,-73.9973608,"Kingston, NY",1
41.801141,-88.0747875,"Lisle, IL",1
37.654656,-122.4077498,"South San Francisco, CA",1
38.9586307,-77.35700279999999,"Reston, VA",7
35.6528323,-97.47809540000002,"Edmond, OK",22
40.3451095,-74.18403219999999,"Holmdel, NJ",1
27.950575,-82.4571776,"Tampa, FL",1
26.3683064,-80.1289321,"Boca Raton, FL",1
38.2575517,-76.4620928,"Lexington Park, MD",1
39.2037144,-76.86104619999999,"Columbia, MD",1
33.4255104,-111.9400054,"Tempe, AZ",22
39.0997265,-94.5785667,"Kansas City, MO",26
44.97413,-93.5066217,"Wayzata, MN",1
43.6150186,-116.2023137,"Boise, ID",2
40.1164204,-88.2433829,"Champaign, IL",1
42.6525793,-73.7562317,"Albany, NY",1
38.8799697,-77.1067698,"Arlington, VA",20
33.7489954,-84.3879824,"Atlanta, GA",1
36.1626638,-86.7816016,"Nashville, TN",1
37.5585465,-122.2710788,"Foster City, CA",2
37.7749295,-122.4194155,"San Francisco, CA",5
35.9940329,-78.898619,"Durham, NC",1
28.0836269,-80.60810889999999,"Melbourne, FL",1
34.0753762,-84.2940899,"Alpharetta, GA",1
44.2619309,-88.41538469999999,"Appleton, WI",1
42.78855530000001,-71.2008912,"Salem, NH",1
47.6739881,-122.121512,"Redmond, WA",1
40.1053196,-85.6802541,"Anderson, IN",2
42.4834197,-71.5167139,"Boxborough, MA",1
32.7554883,-97.3307658,"Fort Worth, TX",1
40.0149856,-105.2705456,"Boulder, CO",1
40.44062479999999,-79.9958864,"Pittsburgh, PA",3
38.8942786,-77.43109919999999,"Chantilly, VA",22
40.6849626,-80.1071379,"Cranberry Twp, PA",1
45.5051064,-122.6750261,"Portland, OR",1
37.9715592,-87.5710898,"Evansville, IN",1
39.5807452,-104.8771726,"Centennial, CO",1
39.977763,-105.1319296,"Louisville, CO",1
45.21011619999999,-123.1987163,"McMinnville, OR",1
33.5185892,-86.8103567,"Birmingham, AL",1
43.0481221,-76.14742439999999,"Syracuse, NY",1
40.5852602,-105.084423,"Fort Collins, CO",1
44.977753,-93.2650108,"Minneapolis, MN",3
39.1031182,-84.5120196,"Cincinnati, OH",24
33.2000368,-117.2425355,"Vista, CA",1
42.2808256,-83.7430378,"Ann Arbor, MI",1
40.7607793,-111.8910474,"Salt Lake City, UT",43
43.4252776,-88.1834277,"West Bend, WI",1
42.4974694,-94.16801579999999,"Fort Dodge, IA",1
42.4648558,-96.4130601,"South Sioux City, NE",1
39.6837226,-75.74965720000002,"Newark, DE",1
28.5383355,-81.3792365,"Orlando, FL",2
34.7464809,-92.28959479999999,"Little Rock, AR",1
32.8323225,-79.82842579999999,"Mount Pleasant, SC",3
39.9259463,-75.1196199,"Camden, NJ",1
37.5071591,-122.2605222,"San Carlos, CA",1
42.6064095,-83.1497751,"Troy, MI",2
42.722257,-84.4274744,"Okemos, MI",1
47.6062095,-122.3320708,"Seattle, WA",29
38.6270025,-90.19940419999999,"Saint Louis, MO",3
39.9688817,-74.948886,"Moorestown, NJ",1
42.19439089999999,-71.19896949999999,"Norwood, MA",2
44.5439375,-73.1479068,"Colchester, VT",1
38.9695545,-77.3860976,"Herndon, VA",6
40.6936488,-89.5889864,"Peoria, IL",2
39.5095556,-76.16411970000001,"Aberdeen, MD",2
43.0389025,-87.9064736,"Milwaukee, WI",2
41.53564919999999,-73.89902520000001,"Fishkill, NY",2
36.8453199,-86.887219,"Russellville, KY",2
40.735657,-74.1723667,"Newark, NJ",2
37.5485396,-121.988583,"Fremont, CA",4
39.0277832,-94.6557914,"Mission, KS",2
37.3382082,-121.8863286,"San Jose, CA",26
34.7303688,-86.5861037,"Huntsville, AL",3
36.1539816,-95.99277500000001,"Tulsa, OK",2
37.2295733,-80.4139393,"Blacksburg, VA",23
40.6781784,-73.9441579,"Brooklyn, NY",2
42.8142432,-73.9395687,"Schenectady, NY",2
37.6687665,-122.0809964,"Hayward, CA",2
41.223,-111.9738304,"Ogden, UT",1
38.2526647,-85.7584557,"Louisville, KY",1
35.2270869,-80.8431267,"Charlotte, NC",22
40.7472594,-89.5739845,"Peoria Heights, IL",21
37.4418834,-122.1430195,"Palo Alto, CA",22
42.9207477,-112.4660912,"Chubbuck, ID",20
36.8507689,-76.28587259999999,"Norfolk, VA",1
36.7682088,-76.2874927,"Chesapeake, VA",1
38.2772663,-76.42295,"Patuxent River, MD",1
36.2553543,-94.1307587,"Lowell, AR",1
35.0843859,-106.650422,"Albuquerque, NM",1
41.2565369,-95.9345034,"Omaha, NE",20
41.8936424,-89.3937142,"Kingdom, IL",1
37.8043514,-122.2711639,"Oakland, CA",1
38.84622359999999,-77.30637329999999,"Fairfax, VA",2
34.3668299,-89.51863499999999,"Oxford, MS",1
45.415734,-122.7163273,"Lake Oswego, OR",1
40.4211798,-79.7881024,"Monroeville, PA",1
44.0805434,-103.2310149,"Rapid City, SD",1
39.7392358,-104.990251,"Denver, CO",1
39.768403,-86.158068,"Indianapolis, IN",2
47.6101497,-122.2015159,"Bellevue, WA",1
39.21886629999999,-76.0690036,"Chestertown, MD",1
39.9525839,-75.1652215,"Philadelphia, PA",1
39.0992752,-76.8483061,"Laurel, MD",1
33.9191799,-118.4164652,"El Segundo, CA",1
43.0183126,-78.69698310000001,"East Amherst, NY",1
40.2132692,-77.0080309,"Mechanicsburg, PA",1
42.3736158,-71.10973349999999,"Cambridge, MA",1
39.3321262,-84.41726659999999,"West Chester, OH",1
28.0394654,-81.9498042,"Lakeland, FL",1
34.0007104,-81.0348144,"Columbia, SC",1
39.4632824,-76.1203982,"Aberdeen Proving Ground, MD",1
37.8395028,-122.2892278,"Emeryville, CA",20
38.7892801,-77.18720359999999,"Springfield, VA",20
42.6791832,-70.8411558,"Ipswich, MA",1
38.9338676,-77.1772604,"McLean, VA",20
42.5047161,-71.1956205,"Burlington, MA",40
37.8715226,-122.273042,"Berkeley, CA",1
37.6604484,-121.8757968,"Pleasanton, CA",19
39.0066993,-77.4291298,"Sterling, VA",19
36.0726354,-79.7919754,"Greensboro, NC",19
30.4382559,-84.28073289999999,"Tallahassee, FL",19
30.505198,-97.8202888,"Cedar Park, TX",19
