city,count,cost index
Salt Lake City,43,118.90
Burlington,40,150.50
Chicago,34,106.90
New York,30,187.20
Seattle,29,172.30
San Jose,26,214.50
Annapolis Junction,26,125.60
Kansas City,26,81.60
Waltham,24,151.70
Phoenix,24,103.70
Cincinnati,24,84.60
Washington,23,152.10
Blacksburg,23,103.00
Palo Alto,22,471.00
Charlotte,22,154.80
Tempe,22,108.10
Edmond,22,99.10
Chantilly,22,98.90
Peoria Heights,21,71.60
McLean,20,203.00
Arlington,20,168.70
Emeryville,20,153.50
Springfield,20,146.20
Chubbuck,20,92.50
Omaha,20,89.80
Pleasanton,19,227.80
Sterling,19,134.40
Cedar Park,19,107.60
Tallahassee,19,93.80
Greensboro,19,83.90
Boston,11,162.40
Reston,7,138.90
Sunnyvale,6,300.10
San Diego,6,160.10
Herndon,6,149.70
Redwood City,5,296.50
San Francisco,5,269.30
Bethesda,5,189.20
Jacksonville,5,93.50